=== Monitoring Server Started at 2025-12-07 14:08:03 ===

[2025-12-07 14:08:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 33.50
[2025-12-07 14:08:56] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 53.30
[2025-12-07 14:08:56] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:56] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:56] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.31
[2025-12-07 14:09:02] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 21.00
[2025-12-07 14:09:02] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 53.90
[2025-12-07 14:09:02] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:02] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:02] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.17
[2025-12-07 14:09:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 26.60
[2025-12-07 14:09:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.40
[2025-12-07 14:09:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.48
[2025-12-07 14:09:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 21.80
[2025-12-07 14:09:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.30
[2025-12-07 14:09:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.28
[2025-12-07 14:09:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 19.40
[2025-12-07 14:09:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.30
[2025-12-07 14:09:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.26
[2025-12-07 14:09:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 11.20
[2025-12-07 14:09:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.20
[2025-12-07 14:09:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.16
[2025-12-07 14:09:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 16.50
[2025-12-07 14:09:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.20
[2025-12-07 14:09:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 2.91
[2025-12-07 14:09:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 22.10
[2025-12-07 14:09:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 53.20
[2025-12-07 14:09:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.48
[2025-12-07 14:09:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 24.70
[2025-12-07 14:09:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 55.00
[2025-12-07 14:09:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:09:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:09:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.76
